dajl	da<j>l		DAL	<>SBJ
qjedal	qje|dal	OPT|	DAL	
dalu	dal|u		DAL	|CMS
dalyn	dal|yn		DAL	|PERM
tallak	tallak		DAL	&OBL
dal	dal		DAL	
tal	tal		DAL	&OBL
khej	khe|j		KHEN	|SBJ
khen	khen		KHEN	
ken	ken		KHEN	&OBL
khebyn	kheb|yn		KHEN	|PERM
khebu	kheb|u		KHEN	|CMS
qjekhen	qje|khen	OPT|	KHEN	
kenpak	kenpak		KHEN	&OBL
ko	ko		der/die/das	
ke	ke		ein	
tuk	tuk		der/die/das	
u	u		ein	
pyr	pyr		der/die/das	
yl	yl		ein	
pjo	pjo		der/die/das	
jo	jo		ein	
ta	ta		PN	
korytje	kory|tje		du_(I)	|INS
koryra	kory|ra		du_(I)	|TRA
korypa	kory|pa		du_(I)	|PRE
korytebekh	kory|tebekh		du_(I)	|TOP
korypan	kory|pan		du_(I)	|COM
korytal	kory|tal		du_(I)	|CAU
kory	kor|y		du_(I)	|ERG
korykwesh	kory|kwesh		du_(I)	|SUBEL
koryror	kory|ror		du_(I)	|ILL
kory	kory		du_(I)	&ERG
korytor	kory|tor		du_(I)	|SUPDI
koryry	kory|ry		du_(I)	|INE
korypy	kory|py		du_(I)	|ADE
korypor	kory|por		du_(I)	|ALL
koryteru	kory|teru		du_(I)	|TMP
korytyn	kory|tyn		du_(I)	|SUP
korypoj	kory|poj		du_(I)	|ABE
korja	korj|a		du_(I)	|GEN
korykur	kory|kur		du_(I)	|SUBDI
korej	korej	/	du_(I)	/&ABS
korykul	kory|kul		du_(I)	|TER
korytesh	kory|tesh		du_(I)	|SUPEL
korykyn	kory|kyn		du_(I)	|SUB
korykwa	kory|kwa		du_(I)	|SUBTR
koryta	kory|ta		du_(I)	|SUPTR
korye	kory|e		du_(I)	|VOC
korypesh	kory|pesh		du_(I)	|ABL
koryresh	kory|resh		du_(I)	|ELA
koryphoj	kory|phoj		ihr_(I)	|ABE
korytheru	kory|theru		ihr_(I)	|TMP
koryshwa	korysh|wa		ihr_(I)	|PRE
koryhkyn	koryh|kyn		ihr_(I)	|SUB
korejsh	korejsh	/	ihr_(I)	&ABS/
koryphan	kory|phan		ihr_(I)	|COM
korythal	kory|thal		ihr_(I)	|CAU
korysh	kor<y>sh		ihr_(I)	<>ERG
koryhkur	koryh|kur		ihr_(I)	|SUBDI
koryshesh	korysh|esh	/	ihr_(I)	|ABL/|ELA
koryshur	korysh|ur		ihr_(I)	|ALL
koryshor	korysh|or		ihr_(I)	|ILL
koryshatesh	korysh|atesh		ihr_(I)	|SUPEL
koryshy	korysh|y		ihr_(I)	|ADE
korykhul	kory|khul		ihr_(I)	|TER
korythje	kory|thje		ihr_(I)	|INS
koryhkwa	koryh|kwa		ihr_(I)	|SUBTR
korysh	korysh		ihr_(I)	&ERG
korysher	korysh|er		ihr_(I)	|INE
koryshator	korysh|ator		ihr_(I)	|SUPDI
koryshe	korysh|e		ihr_(I)	|VOC
